,distance,image_number
0,ssim,3499
1,ssim,318
2,ssim,9416
3,ssim,5724
4,ssim,3483
5,ssim,23
6,ssim,4069
7,ssim,1903
8,ssim,7765
9,ssim,9549
10,ssim,8638
11,ssim,1884
12,ssim,3286
13,ssim,973
14,ssim,9483
15,ssim,564
16,ssim,3258
17,ssim,794
18,ssim,6709
19,ssim,8856
20,ssim,817
21,ssim,1282
22,ssim,9539
23,ssim,5433
24,ssim,1230
25,ssim,7853
26,ssim,8030
27,ssim,2400
28,ssim,2820
29,ssim,6935
30,issm,3499
31,issm,318
32,issm,9416
33,issm,5724
34,issm,3483
35,issm,23
36,issm,4069
37,issm,1903
38,issm,7765
39,issm,9549
40,issm,8638
41,issm,1884
42,issm,3286
43,issm,973
44,issm,9483
45,issm,564
46,issm,3258
47,issm,794
48,issm,6709
49,issm,8856
50,issm,817
51,issm,1282
52,issm,9539
53,issm,5433
54,issm,1230
55,issm,7853
56,issm,8030
57,issm,2400
58,issm,2820
59,issm,6935
60,fsim,3499
61,fsim,318
62,fsim,9416
63,fsim,5724
64,fsim,3483
65,fsim,23
66,fsim,4069
67,fsim,1903
68,fsim,7765
69,fsim,9549
70,fsim,8638
71,fsim,1884
72,fsim,3286
73,fsim,973
74,fsim,9483
75,fsim,564
76,fsim,3258
77,fsim,794
78,fsim,6709
79,fsim,8856
80,fsim,817
81,fsim,1282
82,fsim,9539
83,fsim,5433
84,fsim,1230
85,fsim,7853
86,fsim,8030
87,fsim,2400
88,fsim,2820
89,fsim,6935
90,me,3499
91,me,318
92,me,9416
93,me,5724
94,me,3483
95,me,23
96,me,4069
97,me,1903
98,me,7765
99,me,9549
100,me,8638
101,me,1884
102,me,3286
103,me,973
104,me,9483
105,me,564
106,me,3258
107,me,794
108,me,6709
109,me,8856
110,me,817
111,me,1282
112,me,9539
113,me,5433
114,me,1230
115,me,7853
116,me,8030
117,me,2400
118,me,2820
119,me,6935
120,rmse,3499
121,rmse,318
122,rmse,9416
123,rmse,5724
124,rmse,3483
125,rmse,23
126,rmse,4069
127,rmse,1903
128,rmse,7765
129,rmse,9549
130,rmse,8638
131,rmse,1884
132,rmse,3286
133,rmse,973
134,rmse,9483
135,rmse,564
136,rmse,3258
137,rmse,794
138,rmse,6709
139,rmse,8856
140,rmse,817
141,rmse,1282
142,rmse,9539
143,rmse,5433
144,rmse,1230
145,rmse,7853
146,rmse,8030
147,rmse,2400
148,rmse,2820
149,rmse,6935
